Dataset,Language,Multimodal,Repos,Amount,Environment,Link
**Single-PL Datasets**,,,,,,
SWE-Fixer,Python,No,856,"115,406",No,\ghlink{https://github.com/InternLM/SWE-Fixer} \hflink{https://huggingface.co/datasets/internlm/SWE-Fixer-Train-110K} \hflink{https://huggingface.co/datasets/internlm/SWE-Fixer-Eval}
SWE-smith,Python,No,128,50k,Yes,\ghlink{https://github.com/SWE-bench/SWE-smith} \hflink{https://huggingface.co/datasets/SWE-bench/SWE-smith}
SWE-Lego,Python,No,"3,251","32,119",Yes,\ghlink{https://github.com/SWE-Lego/SWE-Lego} \hflink{https://huggingface.co/SWE-Lego/datasets}
SWE-rebench,Python,No,"3,468","21,336",Yes,\ghlink{https://github.com/SWE-rebench/SWE-bench-fork} \hflink{https://huggingface.co/datasets/nebius/SWE-rebench}
SWE-bench-train,Python,No,37,19k,No,\ghlink{https://github.com/SWE-bench/SWE-bench} \hflink{https://huggingface.co/datasets/princeton-nlp/SWE-bench/viewer/default/train}
SWE-Flow,Python,No,74,"18,081",Yes,\ghlink{https://github.com/Hambaobao/SWE-Flow}
Skywork-SWE,Python,No,"2,531","10,169",Yes,-
R2E-Gym,Python,No,10,"8,135",Yes,\ghlink{https://github.com/R2E-Gym/R2E-Gym} \hflink{https://huggingface.co/R2E-Gym/datasets}
RepoForge,Python,No,-,7.3k,Yes,-
Rust-SWE-bench,Rust,No,34,500,Yes,\ghlink{https://github.com/GhabiX/Rust-SWE-Bench}
SWE-bench-extra,Python,No,2k,6.38k,Yes,\hflink{https://huggingface.co/datasets/nebius/SWE-bench-extra}
SWE-Gym,Python,No,11,"2,438",Yes,\ghlink{https://github.com/SWE-Gym/SWE-Gym} \hflink{https://huggingface.co/SWE-Gym/datasets}
SWE-bench,Python,No,12,"2,294",Yes,\ghlink{https://github.com/SWE-bench/SWE-bench} \hflink{https://huggingface.co/datasets/princeton-nlp/SWE-bench}
SWE-bench-java,Java,No,19,"1,797",Yes,\ghlink{https://github.com/multi-swe-bench/multi-swe-bench-env} \hflink{https://huggingface.co/datasets/Daoguang/Multi-SWE-bench}
SWE-CI,Python,No,-,100,Yes,\ghlink{https://github.com/SKYLENAGE-AI/SWE-CI}
FEA-bench,Python,No,83,"1,401",Yes,\ghlink{https://github.com/microsoft/FEA-Bench/}\hflink{https://huggingface.co/datasets/microsoft/FEA-Bench}
BeyondSWE,Python,No,-,500,Yes,\hflink{https://huggingface.co/datasets/AweAI-Team/BeyondSWE}
SWE-bench-Live,Python,No,164,"1,565",Yes,\ghlink{https://github.com/microsoft/SWE-bench-Live} \hflink{https://huggingface.co/datasets/SWE-bench-Live/SWE-bench-Live}
Loc-Bench,Python,No,-,560,No,\ghlink{https://github.com/gersteinlab/LocAgent} \hflink{https://huggingface.co/datasets/czlll/Loc-Bench_V1}
SWE-bench Verified,Python,No,-,500,Yes,\ghlink{https://github.com/SWE-bench/SWE-bench} \hflink{https://huggingface.co/datasets/princeton-nlp/SWE-bench_Verified}
SWE-bench Lite,Python,No,12,300,Yes,\ghlink{https://github.com/SWE-bench/SWE-bench} \hflink{https://huggingface.co/datasets/princeton-nlp/SWE-bench_Lite}
SWE-MERA,Python,No,200,300,Yes,\ghlink{https://github.com/MERA-Evaluation/SWE-MERA-submissions} \hflink{https://huggingface.co/datasets/MERA-evaluation/SWE-MERA}
SWE-Bench-CL,Python,No,8,273,Yes,\ghlink{https://github.com/thomasjoshi/agents-never-forget}
SWE-Sharp-Bench,C#,No,17,150,Yes,\ghlink{https://github.com/microsoft/prose/tree/main/misc/SWE-Sharp-Bench} \hflink{https://huggingface.co/datasets/microsoft/SWE-Sharp-Bench}
SWE-Skills-Bench,Python,No,-,565,Yes,\ghlink{https://github.com/GeniusHTX/SWE-Skills-Bench}
SWE-Perf,Python,No,12,140,Yes,\ghlink{https://github.com/SWE-Perf/swe-perf} \hflink{https://huggingface.co/datasets/SWE-Perf/SWE-Perf}
