Model Name,Size,Arch.,Inf. Scaffold,Reward,Res.(%),Code,Model
MiMo-V2-Flash,309B-A15B,MoE,Agentless,Outcome,73.4,\ghlink{https://github.com/XiaomiMiMo/MiMo-V2-Flash},\hflink{https://huggingface.co/XiaomiMiMo/MiMo-V2-Flash}
KAT-Coder,-,-,Claude Code,Outcome,73.4,-,\bloglink{https://www.modelscope.cn/models/Kwaipilot/KAT-Dev-72B-Exp}
Deepseek V3.2,671B-A37B,MoE,"Claude Code, RooCode",-,73.1,\ghlink{https://github.com/deepseek-ai/DeepSeek-V3.2-Exp},\hflink{https://huggingface.co/deepseek-ai/DeepSeek-V3.2-Speciale}
Kimi-K2-Instruct,1T,MoE,Agentless,Outcome,71.6,-,\hflink{https://huggingface.co/moonshotai/Kimi-K2-Instruct}
Qwen3-Coder,480B-A35B,MoE,OpenHands,Outcome,69.6,\ghlink{https://github.com/QwenLM/Qwen3-Coder},\hflink{https://huggingface.co/collections/Qwen/qwen3-coder}
GLM-4.6,355B-A32B,MoE,OpenHands,Outcome,68.0,-,\hflink{https://huggingface.co/zai-org/GLM-4.6}
gpt-oss-120b,116.8B-A5.1B,MoE,Internal tool,Outcome,62.0,\ghlink{https://github.com/openai/gpt-oss},\hflink{https://huggingface.co/openai/gpt-oss-120b}
Minimax M2,230B-10B,MoE,R2E-Gym,Outcome,61.0,\ghlink{https://github.com/MiniMax-AI/MiniMax-M2},\hflink{https://huggingface.co/MiniMaxAI/MiniMax-M2}
gpt-oss-20b,20.9B-A3.6B,MoE,Internal tool,Outcome,60.0,\ghlink{https://github.com/openai/gpt-oss},\hflink{https://huggingface.co/openai/gpt-oss-20b}
GLM-4.5-Air,106B-A12B,MoE,OpenHands,Outcome,57.6,-,-
Minimax M1-80k,456B-A45.9B,MoE,Agentless,Outcome,56.0,\ghlink{https://github.com/MiniMax-AI/MiniMax-M1},\bloglink{https://www.modelscope.cn/models/MiniMax/MiniMax-M1-80k}
Minimax M1-40k,456B-A45.9B,MoE,Agentless,Outcome,55.6,\ghlink{https://github.com/MiniMax-AI/MiniMax-M1},\bloglink{https://www.modelscope.cn/models/MiniMax/MiniMax-M1-40k/summary}
Seed1.5-Thinking,200B-A20B,MoE,-,Outcome,47.0,\ghlink{https://github.com/ByteDance-Seed/Seed-Thinking-v1.5},-
Llama 4 Maverick,400B-A17B,MoE,mini-SWE-agent,Outcome,21.0,\ghlink{https://github.com/meta-llama/llama-models/tree/main/models/llama4},\hflink{https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct}
Llama 4 Scout,109B-17B,MoE,mini-SWE-agent,Outcome,9.1,\ghlink{https://github.com/meta-llama/llama-models/tree/main/models/llama4},\hflink{https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E-Instruct}
