Dataset,Language,Multimodal,Repos,Amount,Environment,Link
**Single-PL Datasets**,,,,,,
SWE-Fixer,Python,❌,856,"115,406",❌,\ghlink{https://github.com/InternLM/SWE-Fixer} \hflink{https://huggingface.co/datasets/internlm/SWE-Fixer-Train-110K} \hflink{https://huggingface.co/datasets/internlm/SWE-Fixer-Eval}
SWE-smith,Python,❌,128,50k,✅,\ghlink{https://github.com/SWE-bench/SWE-smith} \hflink{https://huggingface.co/datasets/SWE-bench/SWE-smith}
SWE-Lego,Python,❌,"3,251","32,119",✅,\ghlink{https://github.com/SWE-Lego/SWE-Lego} \hflink{https://huggingface.co/SWE-Lego/datasets}
SWE-rebench,Python,❌,"3,468","21,336",✅,\ghlink{https://github.com/SWE-rebench/SWE-bench-fork} \hflink{https://huggingface.co/datasets/nebius/SWE-rebench}
SWE-bench-train,Python,❌,37,19k,❌,\ghlink{https://github.com/SWE-bench/SWE-bench} \hflink{https://huggingface.co/datasets/princeton-nlp/SWE-bench/viewer/default/train}
SWE-Flow,Python,❌,74,"18,081",✅,\ghlink{https://github.com/Hambaobao/SWE-Flow}
Skywork-SWE,Python,❌,"2,531","10,169",✅,-
R2E-Gym,Python,❌,10,"8,135",✅,\ghlink{https://github.com/R2E-Gym/R2E-Gym} \hflink{https://huggingface.co/R2E-Gym/datasets}
RepoForge,Python,❌,-,7.3k,✅,-
SWE-bench-extra,Python,❌,2k,6.38k,✅,\hflink{https://huggingface.co/datasets/nebius/SWE-bench-extra}
SWE-Gym,Python,❌,11,"2,438",✅,\ghlink{https://github.com/SWE-Gym/SWE-Gym} \hflink{https://huggingface.co/SWE-Gym/datasets}
SWE-bench,Python,❌,12,"2,294",✅,\ghlink{https://github.com/SWE-bench/SWE-bench} \hflink{https://huggingface.co/datasets/princeton-nlp/SWE-bench}
SWE-bench-java,Java,❌,19,"1,797",✅,\ghlink{https://github.com/multi-swe-bench/multi-swe-bench-env} \hflink{https://huggingface.co/datasets/Daoguang/Multi-SWE-bench}
FEA-bench,Python,❌,83,"1,401",✅,\ghlink{https://github.com/microsoft/FEA-Bench/}\hflink{https://huggingface.co/datasets/microsoft/FEA-Bench}
SWE-bench-Live,Python,❌,164,"1,565",✅,\ghlink{https://github.com/microsoft/SWE-bench-Live} \hflink{https://huggingface.co/datasets/SWE-bench-Live/SWE-bench-Live}
Loc-Bench,Python,❌,-,560,❌,\ghlink{https://github.com/gersteinlab/LocAgent} \hflink{https://huggingface.co/datasets/czlll/Loc-Bench_V1}
SWE-bench Verified,Python,❌,-,500,✅,\ghlink{https://github.com/SWE-bench/SWE-bench} \hflink{https://huggingface.co/datasets/princeton-nlp/SWE-bench_Verified}
